DM	left_comp	right_comp	left_smiles	right_smiles
DM37	berberine	dihydroberberine	COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC	COC1=C(C2=C(C=C1)C=C3C4=CC5=C(C=C4CCN3C2)OCO5)OC
DM38	bilr 355	BILR 402	CCN1C2=C(C=CC=N2)N(C(=O)C3=C1N=CC(=C3)CCOC4=CC=[N+](C5=CC=CC=C54)[O-])C	CCN1C2=C(C=CC=N2)N(C(=O)C3=C1N=CC(=C3)CCOC4=CC=NC5=CC=CC=C54)C
DM39	chenodiol (chenodeoxycholic acid)	lithocholic acid	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C
DM40	Clofazimine	one dechlorination option	CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl	CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=CC=C4)C=C1NC5=CC=C(C=C5)Cl
DM41	clofazimine	other dechlorination option	CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl	CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=CC=C5
DM42	cortisol (hydrocortisone)	cortisol-desmo (Zimmerman observation)	C[C@]12CCC(C=C1CC[C@@H]3[C@@H]2[C@@H](O)C[C@@]4(C)[C@H]3CC[C@]4(O)C(CO)=O)=O	C[C@]56CCC(C=C5CC[C@@H]7[C@@H]6[C@@H](O)C[C@@]8(C)[C@H]7CCC8=O)=O
DM43	cortisone	cortisone-desmo	C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C	C[C@]12CCC(C=C1CC[C@@H]3[C@@H]2C(C[C@@]4(C)[C@H]3CCC4=O)=O)=O
DM44	daidzein	dihydrodaidzein	C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O	C1C(C(=O)C2=C(O1)C=C(C=C2)O)C3=CC=C(C=C3)O
DM45	dantrolene	aminodantrolene	C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-]	C1C(=O)NC(=O)N1/N=C\C2=CC=C(O2)C3=CC=C(C=C3)N
DM46	dasatinib	propionyl-O-dasatinib	CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO	CC1=C(NC(C2=CN=C(NC3=CC(N4CCN(CCOC(CC)=O)CC4)=NC(C)=N3)S2)=O)C(Cl)=CC=C1
