bigg_id	mnx_id	smiles	formula	charge
biggM:M_glyvalhis	MNXM744728	CC(C)[C@H](NC(=O)CN)C(=O)N[C@H](CC1=CNC=N1)C(=O)O	C13H21N5O4	0.0
biggM:glyvalhis	MNXM744728	CC(C)[C@H](NC(=O)CN)C(=O)N[C@H](CC1=CNC=N1)C(=O)O	C13H21N5O4	0.0
hexdectecoa	MNXM744730	CCCCC/C=C\C/C=C\C/C=C\C=C\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	C37H54N7O17P3S	-4.0
biggM:M_hexdectecoa	MNXM744730	CCCCC/C=C\C/C=C\C/C=C\C=C\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	C37H54N7O17P3S	-4.0
biggM:hexdectecoa	MNXM744730	CCCCC/C=C\C/C=C\C/C=C\C=C\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	C37H54N7O17P3S	-4.0
hexdpencoa	MNXM744731	CC/C=C\C/C=C\C/C=C\C/C=C\C=C\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	C37H52N7O17P3S	-4.0
biggM:M_hexdpencoa	MNXM744731	CC/C=C\C/C=C\C/C=C\C/C=C\C=C\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	C37H52N7O17P3S	-4.0
biggM:hexdpencoa	MNXM744731	CC/C=C\C/C=C\C/C=C\C/C=C\C=C\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	C37H52N7O17P3S	-4.0
hexdtr	MNXM744732	CCCCCC/C=C/C/C=C/C/C=C/CC(=O)[O-]	C16H25O2	-1.0
biggM:M_hexdtr	MNXM744732	CCCCCC/C=C/C/C=C/C/C=C/CC(=O)[O-]	C16H25O2	-1.0
biggM:hexdtr	MNXM744732	CCCCCC/C=C/C/C=C/C/C=C/CC(=O)[O-]	C16H25O2	-1.0
hexdtrcoa	MNXM744733	CC/C=C\C/C=C\C/C=C\CCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	C37H56N7O17P3S	-4.0
biggM:M_hexdtrcoa	MNXM744733	CC/C=C\C/C=C\C/C=C\CCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	C37H56N7O17P3S	-4.0
biggM:hexdtrcoa	MNXM744733	CC/C=C\C/C=C\C/C=C\CCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	C37H56N7O17P3S	-4.0
hisargcys	MNXM744734	NC(N)=NCCC[C@H](NC(=O)[C@@H](N)CC1=CN=CN1)C(=O)N[C@@H](CS)C(=O)O	C15H26N8O4S	0.0
biggM:M_hisargcys	MNXM744734	NC(N)=NCCC[C@H](NC(=O)[C@@H](N)CC1=CN=CN1)C(=O)N[C@@H](CS)C(=O)O	C15H26N8O4S	0.0
biggM:hisargcys	MNXM744734	NC(N)=NCCC[C@H](NC(=O)[C@@H](N)CC1=CN=CN1)C(=O)N[C@@H](CS)C(=O)O	C15H26N8O4S	0.0
