rxn	left_smiles	right_smiles
DHORStm	O=C1C[C@@H](C(=O)[O-])NC(=O)N1	[H+].O=C1C[C@@H](C(=O)[O-])NC(=O)N1
FA40COAtm	CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
FADtm	CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](N3C=NC4=C3N=CN=C4N)[C@H](O)[C@@H]1O)C1=NC(=O)NC(=O)C1=N2	CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](N3C=NC4=C3N=CN=C4N)[C@H](O)[C@@H]1O)C1=NC(=O)NC(=O)C1=N2
GLYCLTtm	O=C([O-])CO	O=C([O-])CO
GLYNA1tm	[NH3+]CC(=O)[O-].[Na+]	[NH3+]CC(=O)[O-].[Na+]
METHFtm	[H+].NC1=NC2=C(C(=O)N1)[N+]1=CN(C3=CC=C(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])C=C3)C[C@H]1CN2	NC1=NC2=C(C(=O)N1)[N+]1=CN(C3=CC=C(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])C=C3)C[C@H]1CN2.[H+]
NA1Htm	[Na+].[H+]	[H+].[Na+]
NH4tm_1	[H+].[H][N+]([H])([H])[H]	[H+].[H][N+]([H])([H])[H]
OAAAKGtm	O=C([O-])CCC(=O)C(=O)[O-].O=C([O-])CC(=O)C(=O)[O-]	O=C([O-])CC(=O)C(=O)[O-].O=C([O-])CCC(=O)C(=O)[O-]
PMTCOAtm	CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
PTRCtmi	[H+].[NH3+]CCCC[NH3+]	[NH3+]CCCC[NH3+].[H+]
PYRtm	CC(=O)C(=O)[O-]	CC(=O)C(=O)[O-]
SELTtm	O=[Se]([O-])[O-]	O=[Se]([O-])[O-]
UREAtm_1	[Na+].[H]N([H])C(=O)N([H])[H]	[H]N([H])C(=O)N([H])[H].[Na+]
UTPtm_1	O=C1C=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)C(=O)N1	O=C1C=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)C(=O)N1
SO4tn	O=S(=O)([O-])[O-]	O=S(=O)([O-])[O-]
UDPGtni	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H]O[H].O=C1C=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)C(=O)N1	[H+].[H]OP(=O)([O-])[O-].O=C1C=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)C(=O)N1.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O
UDPtn	O=C1C=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)C(=O)N1	O=C1C=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)C(=O)N1
H2Othu	[H]O[H]	[H]O[H]
MG2tu	[Mg+2]	[Mg+2]
