bigg_id	name	reaction_string	model_list	database_links	old_bigg_ids
ACOTAim	Acteylornithine transaminase  irreversible  mitochondrial	acg5sa_m + glu__L_m <-> acorn_m + akg_m	iMM904; iRC1080; iND750	RHEA: http://identifiers.org/rhea/18052; KEGG Reaction: http://identifiers.org/kegg.reaction/R02283; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95388; EC Number: http://identifiers.org/ec-code/2.6.1.11; BioCyc: http://identifiers.org/biocyc/META:ACETYLORNTRANSAM-RXN	ACOTAim; AOTAm
ACP1e	Acid phosphatase  extracellular  secreted 	fmn_e + h2o_e <-> pi_e + ribflv_e	iCHOv1; iMM904; iND750	EC Number: http://identifiers.org/ec-code/3.1.3.2; RHEA: http://identifiers.org/rhea/35587; KEGG Reaction: http://identifiers.org/kegg.reaction/R00548; BioCyc: http://identifiers.org/biocyc/META:RXN0-5187; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95393	ACP1e; FMNALKPle
ACPSm	Acyl carrier protein synthase  mitochondrial	coa_m + h2o_m <-> 2.0 h_m + pan4p_m + pap_m	iMM904; iND750	Reactome: http://www.reactome.org/content/detail/R-ALL-REACT_R-XTR-6809354; EC Number: http://identifiers.org/ec-code/3.6.1.-; BioCyc: http://identifiers.org/biocyc/META:RXN-10811; KEGG Reaction: http://identifiers.org/kegg.reaction/R10747; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95402	ACPSm
ACSm	Acetyl CoA synthetase	ac_m + atp_m + coa_m <-> accoa_m + amp_m + ppi_m	iMM1415; iND750; iCHOv1; iMM904; RECON1	Reactome: http://www.reactome.org/content/detail/R-ALL-REACT_R-TGU-8875071; KEGG Reaction: http://identifiers.org/kegg.reaction/R00235; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95413; BioCyc: http://identifiers.org/biocyc/META:ACETATE--COA-LIGASE-RXN; RHEA: http://identifiers.org/rhea/23179; EC Number: http://identifiers.org/ec-code/6.2.1.1	ACSm
ACtp	Acetate transport  peroxisomal	ac_c <-> ac_x	iMM904; iND750	RHEA: http://identifiers.org/rhea/27817; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95431; BioCyc: http://identifiers.org/biocyc/META:RXN0-1981	ACtp
ACtr	Acetate transporter	ac_e <-> ac_c	iRC1080; iMM904	RHEA: http://identifiers.org/rhea/27817; BioCyc: http://identifiers.org/biocyc/META:TRANS-RXN0-567; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95431	ACt; ACtr
ADNt2	Adenosine transport in via proton symport	adn_e + h_e <-> adn_c + h_c	iJR904; iIT341; iJR904; iND750; iYO844; iSB619; iMM904	RHEA: http://identifiers.org/rhea/29988; BioCyc: http://identifiers.org/biocyc/META:TRANS-RXN-108A; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95461	ADNt2; ADNt2r
AGAT_SC	1 Acyl glycerol 3 phosphate acyltransferase  yeast specific	0.01 1ag3p_SC_c + 0.02 dcacoa_c + 0.06 ddcacoa_c + 0.17 hdcoa_c + 0.09 ocdycacoa_c + 0.24 odecoa_c + 0.27 pmtcoa_c + 0.05 stcoa_c + 0.1 tdcoa_c <-> coa_c + 0.01 pa_SC_c	iMM904; iND750	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95527	AGAT_SC
AGTi	Alanine glyoxylate aminotransferase  irreversible 	ala__L_c + glx_c <-> gly_c + pyr_c	iND750; iJB785; iMM904; iJN678	RHEA: http://identifiers.org/rhea/24250; EC Number: http://identifiers.org/ec-code/2.6.1.44; Reactome: http://www.reactome.org/content/detail/R-ALL-REACT_R-XTR-904864; BioCyc: http://identifiers.org/biocyc/META:ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95618; KEGG Reaction: http://identifiers.org/kegg.reaction/R00369	AGT; AGTi; SPT_syn2
AKGDbm	Oxoglutarate dehydrogenase  dihydrolipoamide S succinyltransferase 	coa_m + sdhlam_m <-> dhlam_m + succoa_m	iMM904; iLB1027_lipid; iND750	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95656; EC Number: http://identifiers.org/ec-code/2.3.1.61	AKGDbm; OGDH_E2_m
AKGtp	AKG transporter  peroxisome	akg_c <-> akg_x	iMM904; RECON1; iMM1415; iCHOv1	MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95663	AKGtp
ALASm	5 aminolevulinate synthase	gly_m + h_m + succoa_m <-> 5aop_m + co2_m + coa_m	iMM904; iAT_PLT_636; iND750; RECON1; iMM1415; iCHOv1	RHEA: http://identifiers.org/rhea/12923; EC Number: http://identifiers.org/ec-code/2.3.1.37; Reactome: http://www.reactome.org/content/detail/R-ALL-REACT_R-SPO-189442; KEGG Reaction: http://identifiers.org/kegg.reaction/R00830; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95695; BioCyc: http://identifiers.org/biocyc/META:5-AMINOLEVULINIC-ACID-SYNTHASE-RXN	ALASm
ALATA_Lm	L alanine transaminase  mitochondrial	akg_m + ala__L_m <-> glu__L_m + pyr_m	iND750; iLB1027_lipid; iMM904; iRC1080; iCHOv1	Reactome: http://www.reactome.org/content/detail/R-ALL-REACT_R-XTR-70523; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95698; BioCyc: http://identifiers.org/biocyc/META:ALANINE-AMINOTRANSFERASE-RXN; KEGG Reaction: http://identifiers.org/kegg.reaction/R00258; EC Number: http://identifiers.org/ec-code/2.6.1.2; RHEA: http://identifiers.org/rhea/19453	AAT; ALATA_L_m; ALATA_Lm; r0081
ALAt2r	L alanine reversible transport via proton symport	ala__L_e + h_e <-> ala__L_c + h_c	iJR904; RECON1; iIT341; iNF517; iMM904; iCHOv1; iNJ661; iYO844; iSB619; iNF517; iND750; iMM1415	BioCyc: http://identifiers.org/biocyc/META:RXN0-5202; RHEA: http://identifiers.org/rhea/29444; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95704	ALA_Lt6; ALAt2; ALAt2r
ALCD24xi	Aldehyde dehydrogenase  isoamyl alcohol  NAD 	3mbald_c + h_c + nadh_c <-> iamoh_c + nad_c	iMM904	KEGG Reaction: http://identifiers.org/kegg.reaction/R05685; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95720; BioCyc: http://identifiers.org/biocyc/META:RXN-7693; RHEA: http://identifiers.org/rhea/18530; EC Number: http://identifiers.org/ec-code/1.1.1.265	ALCD24xi
ALCD24xim	Aldehyde dehydrogenase  isoamyl alcohol  NAD   mitochondrial	3mbald_m + h_m + nadh_m <-> iamoh_m + nad_m	iMM904	BioCyc: http://identifiers.org/biocyc/META:RXN-7693; EC Number: http://identifiers.org/ec-code/1.1.1.1; RHEA: http://identifiers.org/rhea/18532; KEGG Reaction: http://identifiers.org/kegg.reaction/R05685; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95720	ALCD24xim
ALCD25xi	Aldehyde dehydrogenase  2 phenylethanol  NAD 	h_c + nadh_c + pacald_c <-> 2phetoh_c + nad_c	iMM904	EC Number: http://identifiers.org/ec-code/1.1.1.1; BioCyc: http://identifiers.org/biocyc/META:RXN-7700; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95722; KEGG Reaction: http://identifiers.org/kegg.reaction/R02611	ALCD25xi
